Salary,Hits,Years,AtBat,HmRun,Runs,RBI,Walks,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,NewLeague
67.5,41,2,181,1,15,21,33,232,50,4,20,29,45,A,E,326,29,5,A
68,54,1,209,3,25,14,12,209,54,3,25,14,12,A,W,102,6,3,A
70,37,2,185,1,23,8,21,214,42,1,30,9,24,N,E,76,127,7,A
70,53,2,214,2,30,29,23,226,59,2,32,32,27,N,E,109,7,3,N
70,78,1,317,7,35,35,32,317,78,7,35,35,32,A,E,45,122,26,A
70,51,1,215,4,19,18,11,215,51,4,19,18,11,A,E,116,5,12,A
70,68,1,312,2,32,22,24,312,68,2,32,22,24,A,E,86,150,15,A
75,81,2,323,6,26,32,8,341,86,6,32,34,8,N,W,143,290,19,N
75,53,3,199,5,29,22,21,514,120,8,57,40,39,A,W,152,3,5,A
75,39,3,165,2,13,9,16,196,44,2,18,10,18,A,W,332,19,2,N
75,64,1,279,0,31,26,30,279,64,0,31,26,30,N,W,107,205,16,N
75,54,1,216,2,27,25,33,216,54,2,27,25,33,N,W,317,36,1,N
80,102,5,399,3,56,34,34,670,167,4,89,48,54,A,W,211,9,3,A
86.5,58,1,181,6,34,23,22,181,58,6,34,23,22,N,W,88,0,3,N
87.5,99,4,445,1,46,24,29,618,129,1,72,31,48,A,W,278,415,16,A
90,60,2,268,5,24,25,15,350,78,5,34,29,18,N,W,442,59,6,N
90,113,1,416,24,58,69,16,416,113,24,58,69,16,A,E,203,70,10,A
90,40,3,185,4,23,11,18,524,125,7,58,37,47,N,E,97,2,2,N
90,56,2,209,12,22,36,19,216,58,12,24,37,19,N,E,201,6,3,N
90,66,3,220,5,20,28,13,290,80,5,27,31,15,A,W,281,21,3,A
90,210,6,633,6,91,56,59,3070,872,19,420,230,274,N,W,367,432,16,N
91.5,87,2,321,10,39,42,30,396,101,12,48,46,33,N,E,805,40,4,N
95,41,2,151,4,26,21,19,288,68,9,45,39,35,A,W,28,56,2,A
97.5,101,1,382,16,50,55,22,382,101,16,50,55,22,A,W,200,7,6,A
100,73,3,298,0,24,24,7,509,108,0,41,37,12,A,W,121,283,9,A
100,92,1,413,16,72,48,65,413,92,16,72,48,65,N,E,280,9,5,N
100,103,2,438,2,65,32,71,440,103,2,67,32,71,A,W,276,7,9,N
100,95,10,341,6,48,42,20,2964,808,81,379,428,221,N,W,158,4,5,N
100,71,3,303,3,18,30,36,344,76,3,20,36,45,N,E,468,47,6,N
100,117,6,512,29,54,88,43,1750,412,100,204,276,155,A,W,1236,98,18,A
105,142,4,521,20,67,86,45,815,205,22,99,103,78,A,E,107,242,23,A
105,103,2,453,8,53,33,52,507,123,8,63,39,58,A,W,289,407,6,A
110,108,3,419,6,55,36,22,591,149,8,80,46,31,N,W,226,7,4,N
110,82,2,280,16,44,45,47,428,113,25,61,70,63,A,E,148,4,2,A
110,86,1,278,4,33,38,45,278,86,4,33,38,45,N,W,102,4,2,N
110,73,4,315,5,23,37,16,450,108,6,38,46,28,A,W,227,15,3,A
115,109,1,426,3,55,43,62,426,109,3,55,43,62,A,W,361,22,2,N
120,43,3,211,10,26,35,39,498,116,14,59,55,78,A,W,463,32,8,A
120,117,1,408,11,66,41,34,408,117,11,66,41,34,N,W,942,72,11,N
125,91,2,328,12,51,43,33,342,94,12,51,44,33,N,E,145,59,8,N
130,72,5,309,0,33,31,26,354,82,0,41,32,26,N,E,117,269,12,N
135,32,8,127,8,16,22,14,727,180,24,67,82,56,N,W,202,22,2,N
135,112,2,461,18,54,54,35,680,160,24,76,75,49,A,W,111,226,11,A
137,60,3,258,8,28,33,18,638,170,17,80,75,36,A,W,358,32,8,A
140,75,3,299,6,38,23,26,580,160,8,71,33,44,N,E,212,1,2,N
140,57,3,208,8,32,25,18,653,170,17,98,54,62,N,E,42,94,13,N
140,149,1,549,7,73,47,42,549,149,7,73,47,42,N,W,255,450,17,N
145,138,3,511,25,76,96,61,592,164,28,87,110,71,A,W,157,7,8,A
145,92,3,338,18,42,60,21,682,185,36,88,112,50,A,E,0,0,0,A
150,93,2,407,8,47,30,30,969,230,14,121,69,68,N,W,172,317,25,N
150,96,4,439,0,44,36,65,711,148,1,68,56,99,N,E,229,406,22,N
155,118,4,472,12,63,54,30,793,187,14,102,80,50,A,W,228,377,26,A
155,76,3,315,13,35,60,25,630,151,24,68,94,55,N,E,498,39,13,N
155,145,2,581,17,66,68,21,831,210,21,106,86,40,N,E,320,465,32,N
160,138,3,578,1,56,59,34,1399,357,7,149,161,87,N,E,133,371,20,N
160,139,2,600,0,94,29,60,1236,309,1,201,69,110,N,E,300,12,9,N
165,144,2,600,33,85,117,65,696,173,38,101,130,69,A,W,319,4,14,A
165,172,1,593,22,82,100,57,593,172,22,82,100,57,A,W,1222,139,15,A
172,135,1,540,30,82,88,55,540,135,30,82,88,55,A,W,157,6,14,A
175,46,5,190,2,24,8,15,479,102,5,65,23,39,A,W,102,177,16,A
175,39,9,143,5,18,30,15,639,151,16,80,97,61,N,W,138,15,1,N
175,120,3,504,28,71,71,54,1085,259,54,150,167,114,A,E,103,283,19,A
175,137,2,547,2,58,47,12,1038,271,3,129,80,24,A,W,261,459,22,A
180,46,4,217,7,32,19,9,694,160,32,86,76,32,A,E,307,25,1,A
185,120,4,520,17,53,44,21,927,227,22,106,80,52,A,W,70,144,11,A
190,56,5,236,6,41,19,21,1257,329,24,166,125,105,A,E,172,1,4,A
190,27,4,126,3,8,10,5,239,49,3,16,13,14,N,E,190,2,9,N
191,68,6,275,5,42,42,61,961,238,16,128,104,172,N,E,181,3,2,N
195,101,3,453,3,46,43,61,948,218,6,96,72,91,N,W,249,444,16,N
200,77,20,354,16,36,55,41,8716,2172,384,1172,1267,1057,N,W,83,174,16,N
200,163,3,616,27,83,107,32,1437,377,65,181,227,82,A,W,110,308,15,A
200,152,2,572,18,105,49,65,978,249,36,168,91,101,A,W,325,13,3,A
200,140,4,522,16,73,77,60,730,185,22,93,106,86,N,E,1320,166,17,N
202.5,127,2,431,8,77,45,58,667,187,9,117,64,88,N,E,283,8,3,N
210,97,4,351,4,55,29,39,1258,353,16,196,110,117,N,W,226,7,3,A
210,167,4,576,8,89,49,57,822,232,19,132,83,79,N,E,325,12,8,N
215,132,3,416,7,57,49,33,932,273,24,113,121,80,N,W,73,177,18,N
215,152,3,574,31,91,101,64,985,260,53,148,173,95,N,W,1253,111,11,N
215,108,3,466,33,75,86,72,652,142,44,102,109,102,A,E,286,8,8,A
225,53,4,216,1,31,15,22,926,210,9,118,69,114,N,W,73,152,11,N
225,70,12,283,8,33,37,27,4479,1222,94,557,483,307,A,E,156,2,2,A
230,56,4,236,0,27,15,11,1115,270,1,116,64,57,A,W,125,199,13,A
235,61,17,213,4,17,22,3,4061,1145,83,488,491,244,A,W,178,45,4,A
240,43,13,196,7,29,27,30,3231,825,36,376,290,238,N,E,80,45,8,N
240,76,4,288,7,34,37,15,1644,408,16,198,120,113,N,W,203,3,3,N
245,47,6,193,10,21,29,24,1136,256,42,129,139,106,A,W,299,13,5,A
247.5,57,5,205,8,34,32,9,756,192,32,117,107,51,A,E,58,4,4,A
250,200,4,663,29,108,121,32,1447,404,57,210,222,68,A,E,241,8,6,A
250,66,14,257,5,31,26,32,3910,979,33,518,324,382,N,W,87,166,14,A
250,56,12,216,4,22,18,15,2796,665,43,266,304,198,A,E,391,44,4,A
250,76,6,246,5,35,39,13,912,234,12,102,96,80,A,E,44,0,1,A
250,86,4,394,1,38,28,36,1089,267,3,94,71,76,N,E,203,369,16,N
250,70,4,263,1,26,23,30,888,220,9,83,82,86,N,E,81,147,4,N
260,41,16,155,12,21,29,22,5409,1338,181,746,805,875,A,W,165,9,1,A
265,52,6,199,9,26,28,21,805,191,30,113,119,87,N,W,235,22,5,N
275,44,16,155,6,21,23,15,6631,1634,98,698,661,777,N,E,53,88,3,N
