기간,한국 수출금액,한국의대중국수출,한국의대미국수출,한국의대베트남수출,한국의대홍콩수출,한국의대일본수출
2000-01,"12,162,424,632 ","1,235,215,271 ","2,609,787,984 ","109,742,698 ","782,348,732 ","1,551,722,070 "
2000-02,"12,676,042,304 ","1,273,117,309 ","2,554,309,883 ","112,395,157 ","823,990,122 ","1,518,844,843 "
2000-03,"14,429,703,086 ","1,437,377,223 ","2,946,820,669 ","150,134,562 ","911,648,256 ","1,783,564,618 "
2000-04,"13,522,040,017 ","1,366,876,604 ","2,698,029,849 ","169,146,208 ","863,243,219 ","1,582,707,525 "
2000-05,"14,636,754,971 ","1,663,240,667 ","3,167,181,403 ","169,411,680 ","887,081,090 ","1,671,039,709 "
2000-06,"15,250,939,656 ","1,636,969,297 ","3,214,982,843 ","156,502,370 ","883,530,139 ","1,670,427,579 "
2000-07,"14,455,655,854 ","1,606,725,442 ","3,255,804,253 ","137,391,132 ","870,993,704 ","1,645,587,937 "
2000-08,"14,786,880,244 ","1,685,673,813 ","3,267,078,390 ","121,056,169 ","923,675,716 ","1,678,044,413 "
2000-09,"15,133,379,448 ","1,592,373,209 ","3,510,988,785 ","127,921,283 ","943,856,029 ","1,900,124,085 "
2000-10,"15,248,067,735 ","1,619,740,904 ","3,471,764,548 ","126,551,005 ","981,958,017 ","1,773,514,357 "
2000-11,"14,989,067,774 ","1,728,475,871 ","3,331,334,272 ","150,756,897 ","944,141,978 ","1,877,923,709 "
2000-12,"14,976,554,592 ","1,608,753,969 ","3,582,547,249 ","155,015,425 ","891,627,321 ","1,812,514,974 "
2001-01,"12,644,929,017 ","1,239,083,390 ","2,703,366,934 ","94,830,841 ","702,872,420 ","1,616,072,581 "
2001-02,"13,354,073,762 ","1,513,732,501 ","2,502,468,673 ","135,284,913 ","802,615,931 ","1,546,804,634 "
2001-03,"14,124,891,326 ","1,607,051,165 ","2,855,151,093 ","159,595,798 ","852,738,239 ","1,637,434,941 "
2001-04,"12,121,109,771 ","1,540,004,834 ","2,427,541,727 ","158,361,600 ","858,202,241 ","1,365,516,173 "
2001-05,"13,306,959,164 ","1,600,296,077 ","2,511,513,054 ","163,293,890 ","936,811,601 ","1,479,760,006 "
2001-06,"12,931,941,025 ","1,647,396,857 ","2,669,876,560 ","162,529,118 ","791,948,637 ","1,421,370,438 "
2001-07,"11,392,256,710 ","1,532,212,464 ","2,434,080,251 ","134,354,511 ","698,154,966 ","1,206,250,955 "
2001-08,"11,766,192,458 ","1,488,933,965 ","2,586,477,504 ","131,830,895 ","698,675,179 ","1,210,560,889 "
2001-09,"12,447,323,670 ","1,515,586,442 ","2,837,276,788 ","137,161,302 ","774,206,111 ","1,298,082,968 "
2001-10,"12,086,028,283 ","1,485,592,377 ","2,593,946,857 ","139,408,674 ","792,686,908 ","1,233,369,518 "
2001-11,"12,348,966,889 ","1,517,838,556 ","2,711,414,606 ","158,303,058 ","774,088,862 ","1,328,742,455 "
2001-12,"11,914,472,044 ","1,502,461,022 ","2,377,681,032 ","156,708,036 ","768,677,224 ","1,161,800,697 "
2002-01,"11,381,879,453 ","1,471,487,338 ","2,496,356,532 ","126,243,658 ","710,914,959 ","1,054,722,674 "
2002-02,"11,023,036,912 ","1,314,887,195 ","2,267,664,325 ","118,939,281 ","658,025,209 ","1,065,870,276 "
2002-03,"13,251,322,898 ","1,776,786,999 ","2,745,682,039 ","162,112,998 ","849,361,366 ","1,194,416,507 "
2002-04,"13,184,534,346 ","1,857,224,615 ","2,754,209,141 ","197,481,812 ","843,910,378 ","1,187,275,726 "
2002-05,"14,173,176,611 ","1,941,925,212 ","2,836,154,720 ","281,202,443 ","897,000,426 ","1,282,811,471 "
2002-06,"12,894,088,493 ","1,838,409,871 ","2,381,101,704 ","198,034,906 ","938,056,325 ","1,220,583,003 "
2002-07,"13,395,178,905 ","2,010,716,667 ","2,708,340,089 ","168,237,505 ","903,056,331 ","1,302,584,242 "
2002-08,"13,959,109,880 ","2,034,950,003 ","2,745,114,596 ","170,608,783 ","856,444,734 ","1,244,127,422 "
2002-09,"13,900,763,481 ","2,107,709,414 ","2,745,226,658 ","175,078,338 ","830,116,731 ","1,287,483,718 "
2002-10,"15,084,658,742 ","2,472,827,761 ","3,110,798,556 ","219,061,171 ","890,016,045 ","1,409,834,404 "
2002-11,"15,196,561,477 ","2,396,004,989 ","3,028,530,917 ","215,989,041 ","888,201,439 ","1,474,813,167 "
2002-12,"15,026,216,602 ","2,530,655,690 ","2,961,008,886 ","207,197,508 ","880,431,442 ","1,418,660,277 "
2003-01,"14,319,930,962 ","2,289,754,881 ","2,612,314,009 ","160,001,619 ","882,496,951 ","1,395,928,617 "
2003-02,"13,337,144,558 ","2,379,306,564 ","2,383,517,948 ","168,340,812 ","892,958,358 ","1,225,944,611 "
2003-03,"15,378,850,237 ","2,659,292,622 ","2,749,138,408 ","252,511,469 ","1,072,609,239 ","1,371,507,580 "
2003-04,"15,720,592,277 ","2,560,138,383 ","2,807,774,807 ","254,067,765 ","1,138,131,661 ","1,406,227,585 "
2003-05,"14,676,091,579 ","2,475,020,616 ","2,633,439,848 ","236,404,469 ","1,119,015,400 ","1,350,886,060 "
2003-06,"15,656,327,385 ","2,609,510,640 ","2,803,208,194 ","228,234,538 ","1,154,056,078 ","1,319,147,409 "
2003-07,"15,431,714,254 ","2,964,910,238 ","2,497,304,252 ","194,171,150 ","1,103,554,595 ","1,382,143,845 "
2003-08,"15,375,268,390 ","3,078,356,503 ","2,585,265,507 ","164,080,059 ","1,192,550,868 ","1,298,388,017 "
2003-09,"17,021,082,330 ","3,274,210,504 ","3,034,998,707 ","192,545,654 ","1,274,404,786 ","1,437,461,044 "
2003-10,"18,929,664,626 ","3,540,626,175 ","3,425,960,263 ","239,220,981 ","1,518,784,077 ","1,725,329,265 "
2003-11,"18,242,088,134 ","3,448,459,677 ","3,213,552,727 ","222,750,947 ","1,511,066,342 ","1,698,328,371 "
2003-12,"19,728,688,098 ","3,830,128,278 ","3,472,926,852 ","248,904,759 ","1,794,107,234 ","1,664,844,557 "
2004-01,"18,987,120,155 ","3,320,938,836 ","2,644,698,134 ","163,655,810 ","1,752,427,343 ","1,552,892,077 "
2004-02,"19,136,967,537 ","3,686,545,830 ","3,097,012,039 ","219,836,657 ","1,623,980,661 ","1,732,592,270 "
2004-03,"21,174,854,848 ","4,030,541,099 ","3,534,532,863 ","290,300,792 ","2,000,495,364 ","1,911,030,362 "
2004-04,"21,483,356,558 ","4,097,864,960 ","3,544,622,758 ","307,250,394 ","1,922,309,600 ","1,818,283,540 "
2004-05,"20,834,258,911 ","4,296,986,705 ","3,559,012,806 ","289,277,128 ","1,680,079,037 ","1,863,901,016 "
2004-06,"21,657,111,358 ","4,113,746,869 ","4,106,098,212 ","236,283,306 ","1,396,816,496 ","1,696,810,982 "
2004-07,"21,003,794,339 ","4,479,869,971 ","3,623,191,685 ","242,243,975 ","1,290,155,367 ","1,836,487,014 "
2004-08,"19,798,968,731 ","4,101,366,165 ","3,470,222,358 ","221,873,125 ","1,375,518,159 ","1,604,839,240 "
2004-09,"20,831,133,275 ","4,167,502,231 ","3,616,201,442 ","315,686,171 ","1,355,963,458 ","1,728,688,553 "
2004-10,"22,663,288,550 ","4,554,437,724 ","4,037,437,608 ","322,247,840 ","1,243,990,637 ","1,889,739,717 "
2004-11,"23,076,611,989 ","4,470,634,073 ","3,809,459,511 ","308,761,531 ","1,255,319,871 ","2,033,609,169 "
2004-12,"23,197,205,701 ","4,442,741,000 ","3,806,703,574 ","338,156,929 ","1,230,056,169 ","2,032,462,605 "
2005-01,"22,454,025,470 ","4,478,629,894 ","3,478,719,869 ","263,408,894 ","1,119,491,360 ","1,873,433,140 "
2005-02,"20,401,096,466 ","4,067,751,554 ","2,943,672,615 ","238,002,074 ","1,040,786,715 ","1,724,000,690 "
2005-03,"23,952,499,856 ","5,100,932,503 ","3,847,122,869 ","302,120,214 ","1,324,503,664 ","2,090,276,572 "
2005-04,"22,872,504,728 ","4,934,865,151 ","3,461,143,238 ","320,401,485 ","1,212,049,720 ","1,927,815,252 "
2005-05,"23,122,703,254 ","5,084,553,831 ","3,049,347,129 ","285,902,445 ","1,205,126,325 ","2,112,346,565 "
2005-06,"23,707,576,151 ","5,431,809,725 ","3,281,113,899 ","358,098,763 ","1,274,052,635 ","2,016,336,223 "
2005-07,"23,235,522,474 ","5,341,837,566 ","3,274,528,563 ","288,826,751 ","1,223,363,867 ","1,947,968,106 "
