기간,한국 수출금액,한국의대중국수출,한국의대미국수출,한국의대베트남수출,한국의대홍콩수출,한국의대일본수출
2000-01,12162424632 ,1235215271 ,2609787984 ,109742698 ,782348732 ,1551722070 
2000-02,12676042304 ,1273117309 ,2554309883 ,112395157 ,823990122 ,1518844843 
2000-03,14429703086 ,1437377223 ,2946820669 ,150134562 ,911648256 ,1783564618 
2000-04,13522040017 ,1366876604 ,2698029849 ,169146208 ,863243219 ,1582707525 
2000-05,14636754971 ,1663240667 ,3167181403 ,169411680 ,887081090 ,1671039709 
2000-06,15250939656 ,1636969297 ,3214982843 ,156502370 ,883530139 ,1670427579 
2000-07,14455655854 ,1606725442 ,3255804253 ,137391132 ,870993704 ,1645587937 
2000-08,14786880244 ,1685673813 ,3267078390 ,121056169 ,923675716 ,1678044413 
2000-09,15133379448 ,1592373209 ,3510988785 ,127921283 ,943856029 ,1900124085 
2000-10,15248067735 ,1619740904 ,3471764548 ,126551005 ,981958017 ,1773514357 
2000-11,14989067774 ,1728475871 ,3331334272 ,150756897 ,944141978 ,1877923709 
2000-12,14976554592 ,1608753969 ,3582547249 ,155015425 ,891627321 ,1812514974 
2001-01,12644929017 ,1239083390 ,2703366934 ,94830841 ,702872420 ,1616072581 
2001-02,13354073762 ,1513732501 ,2502468673 ,135284913 ,802615931 ,1546804634 
2001-03,14124891326 ,1607051165 ,2855151093 ,159595798 ,852738239 ,1637434941 
2001-04,12121109771 ,1540004834 ,2427541727 ,158361600 ,858202241 ,1365516173 
2001-05,13306959164 ,1600296077 ,2511513054 ,163293890 ,936811601 ,1479760006 
2001-06,12931941025 ,1647396857 ,2669876560 ,162529118 ,791948637 ,1421370438 
2001-07,11392256710 ,1532212464 ,2434080251 ,134354511 ,698154966 ,1206250955 
2001-08,11766192458 ,1488933965 ,2586477504 ,131830895 ,698675179 ,1210560889 
2001-09,12447323670 ,1515586442 ,2837276788 ,137161302 ,774206111 ,1298082968 
2001-10,12086028283 ,1485592377 ,2593946857 ,139408674 ,792686908 ,1233369518 
2001-11,12348966889 ,1517838556 ,2711414606 ,158303058 ,774088862 ,1328742455 
2001-12,11914472044 ,1502461022 ,2377681032 ,156708036 ,768677224 ,1161800697 
2002-01,11381879453 ,1471487338 ,2496356532 ,126243658 ,710914959 ,1054722674 
2002-02,11023036912 ,1314887195 ,2267664325 ,118939281 ,658025209 ,1065870276 
2002-03,13251322898 ,1776786999 ,2745682039 ,162112998 ,849361366 ,1194416507 
2002-04,13184534346 ,1857224615 ,2754209141 ,197481812 ,843910378 ,1187275726 
2002-05,14173176611 ,1941925212 ,2836154720 ,281202443 ,897000426 ,1282811471 
2002-06,12894088493 ,1838409871 ,2381101704 ,198034906 ,938056325 ,1220583003 
2002-07,13395178905 ,2010716667 ,2708340089 ,168237505 ,903056331 ,1302584242 
2002-08,13959109880 ,2034950003 ,2745114596 ,170608783 ,856444734 ,1244127422 
2002-09,13900763481 ,2107709414 ,2745226658 ,175078338 ,830116731 ,1287483718 
2002-10,15084658742 ,2472827761 ,3110798556 ,219061171 ,890016045 ,1409834404 
2002-11,15196561477 ,2396004989 ,3028530917 ,215989041 ,888201439 ,1474813167 
2002-12,15026216602 ,2530655690 ,2961008886 ,207197508 ,880431442 ,1418660277 
2003-01,14319930962 ,2289754881 ,2612314009 ,160001619 ,882496951 ,1395928617 
2003-02,13337144558 ,2379306564 ,2383517948 ,168340812 ,892958358 ,1225944611 
2003-03,15378850237 ,2659292622 ,2749138408 ,252511469 ,1072609239 ,1371507580 
2003-04,15720592277 ,2560138383 ,2807774807 ,254067765 ,1138131661 ,1406227585 
2003-05,14676091579 ,2475020616 ,2633439848 ,236404469 ,1119015400 ,1350886060 
2003-06,15656327385 ,2609510640 ,2803208194 ,228234538 ,1154056078 ,1319147409 
2003-07,15431714254 ,2964910238 ,2497304252 ,194171150 ,1103554595 ,1382143845 
2003-08,15375268390 ,3078356503 ,2585265507 ,164080059 ,1192550868 ,1298388017 
2003-09,17021082330 ,3274210504 ,3034998707 ,192545654 ,1274404786 ,1437461044 
2003-10,18929664626 ,3540626175 ,3425960263 ,239220981 ,1518784077 ,1725329265 
2003-11,18242088134 ,3448459677 ,3213552727 ,222750947 ,1511066342 ,1698328371 
2003-12,19728688098 ,3830128278 ,3472926852 ,248904759 ,1794107234 ,1664844557 
2004-01,18987120155 ,3320938836 ,2644698134 ,163655810 ,1752427343 ,1552892077 
2004-02,19136967537 ,3686545830 ,3097012039 ,219836657 ,1623980661 ,1732592270 
2004-03,21174854848 ,4030541099 ,3534532863 ,290300792 ,2000495364 ,1911030362 
2004-04,21483356558 ,4097864960 ,3544622758 ,307250394 ,1922309600 ,1818283540 
2004-05,20834258911 ,4296986705 ,3559012806 ,289277128 ,1680079037 ,1863901016 
2004-06,21657111358 ,4113746869 ,4106098212 ,236283306 ,1396816496 ,1696810982 
2004-07,21003794339 ,4479869971 ,3623191685 ,242243975 ,1290155367 ,1836487014 
2004-08,19798968731 ,4101366165 ,3470222358 ,221873125 ,1375518159 ,1604839240 
2004-09,20831133275 ,4167502231 ,3616201442 ,315686171 ,1355963458 ,1728688553 
2004-10,22663288550 ,4554437724 ,4037437608 ,322247840 ,1243990637 ,1889739717 
2004-11,23076611989 ,4470634073 ,3809459511 ,308761531 ,1255319871 ,2033609169 
2004-12,23197205701 ,4442741000 ,3806703574 ,338156929 ,1230056169 ,2032462605 
2005-01,22454025470 ,4478629894 ,3478719869 ,263408894 ,1119491360 ,1873433140 
2005-02,20401096466 ,4067751554 ,2943672615 ,238002074 ,1040786715 ,1724000690 
2005-03,23952499856 ,5100932503 ,3847122869 ,302120214 ,1324503664 ,2090276572 
2005-04,22872504728 ,4934865151 ,3461143238 ,320401485 ,1212049720 ,1927815252 
2005-05,23122703254 ,5084553831 ,3049347129 ,285902445 ,1205126325 ,2112346565 
2005-06,23707576151 ,5431809725 ,3281113899 ,358098763 ,1274052635 ,2016336223 
2005-07,23235522474 ,5341837566 ,3274528563 ,288826751 ,1223363867 ,1947968106 
2005-08,23342966614 ,5423374641 ,3254946142 ,243933660 ,1250952115 ,1904502129 
2005-09,24519190675 ,5540811566 ,3535927648 ,306039562 ,1398080921 ,2038942000 
2005-10,25352747930 ,5493539451 ,3602662419 ,259194900 ,1508431704 ,2052962512 
2005-11,25826192398 ,5532306470 ,3939417098 ,305140369 ,1518623109 ,2130222239 
2005-12,25631716487 ,5484570863 ,3673982901 ,260584878 ,1455630080 ,2208632472 
2006-01,23257866107 ,4800572773 ,3260917892 ,238741948 ,1416175027 ,2107219013 
2006-02,23786955697 ,4837638513 ,3145899213 ,218776406 ,1429481611 ,2061298842 
2006-03,26840145449 ,5725007752 ,3862474560 ,328075564 ,1624505954 ,2180383012 
2006-04,25590122639 ,5428864647 ,3538737276 ,311323929 ,1406909748 ,1940871331 
2006-05,27934507286 ,5768058684 ,3516047123 ,380229046 ,1567171438 ,2310335086 
2006-06,27948805195 ,5982891925 ,3787495412 ,358970477 ,1650654125 ,2363666720 
2006-07,25774350220 ,5644307935 ,3593549623 ,293986773 ,1428038248 ,2077096965 
2006-08,27287194510 ,6221785801 ,3551040488 ,427164632 ,1604949314 ,2230652616 
2006-09,29651247374 ,6363844539 ,3828544843 ,365584437 ,1846721555 ,2369865037 
2006-10,28015958595 ,6058696205 ,3304223107 ,293295569 ,1703780761 ,2138081659 
2006-11,30602312825 ,6443253915 ,4029040001 ,347815856 ,1718370478 ,2335096486 
2006-12,28775382516 ,6184255618 ,3765532644 ,363511561 ,1582104456 ,2419448323 
2007-01,28092560584 ,6401707958 ,3635618824 ,393193256 ,1603570068 ,2011463900 
2007-02,26225124995 ,5482360139 ,3704007923 ,395865922 ,1289738246 ,2028249460 
2007-03,30385840023 ,6382984185 ,4059505955 ,380971885 ,1433951408 ,2205708551 
2007-04,29944456214 ,6518525742 ,3844901714 ,448486348 ,1391633614 ,2109682607 
2007-05,31039900633 ,6587388640 ,3992972872 ,480612282 ,1463176305 ,2145311544 
2007-06,32000108762 ,6548213184 ,3846283234 ,441193546 ,1546368120 ,2263239284 
2007-07,30207443864 ,6889671129 ,3794752641 ,529838189 ,1605736521 ,2138700677 
2007-08,30998134234 ,7158117729 ,3515831284 ,409134643 ,1485644644 ,2107231025 
2007-09,29323535026 ,7034110548 ,3212919142 ,505003604 ,1561123206 ,1972487840 
2007-10,34433812739 ,7740782030 ,4224090392 ,567489139 ,1866502508 ,2361917716 
